date,open,close,high,low,volume,change,pct_change
2016-05-20,3047.7800,3078.2200,3078.5300,3041.5200,56080842,15.7200,0.0051
2016-05-23,3078.5100,3087.2200,3098.4800,3076.5000,59697216,9.0000,0.0029
2016-05-24,3083.2400,3063.5600,3083.2600,3052.5900,58734385,-23.6600,-0.0077
2016-05-25,3079.7500,3059.2300,3089.1000,3054.8700,56652803,-4.3300,-0.0014
2016-05-26,3056.6000,3064.2100,3072.5200,3027.4400,60392981,4.9800,0.0016
2016-05-27,3059.7300,3062.5000,3073.7600,3052.1800,60468750,-1.7100,-0.0006
2016-05-30,3056.3100,3066.7100,3075.2600,3037.6600,63098579,4.2100,0.0014
2016-05-31,3068.6000,3169.5600,3170.9300,3068.6000,138863111,102.8500,0.0335
2016-06-01,3172.9600,3160.5500,3181.7900,3159.8200,113148482,-9.0100,-0.0028
2016-06-02,3158.0300,3167.1000,3168.8200,3151.0700,86003427,6.5500,0.0021
2016-06-03,3172.9500,3189.3300,3201.7500,3162.0900,101491783,22.2300,0.0070
2016-06-06,3192.7800,3178.7900,3197.2200,3168.5500,76693751,-10.5400,-0.0033
2016-06-07,3182.4400,3177.0500,3186.6200,3168.1800,68928314,-1.7400,-0.0005
2016-06-08,3171.8100,3163.9900,3174.9700,3148.3500,76291775,-13.0600,-0.0041
2016-06-13,3134.0500,3066.3400,3145.6100,3065.7700,92975947,-97.6500,-0.0309
2016-06-14,3058.4400,3075.9800,3078.7500,3055.6600,66279457,9.6400,0.0031
2016-06-15,3043.9600,3116.3700,3128.6700,3042.2300,87393257,40.3900,0.0131
2016-06-16,3104.3600,3094.6700,3112.4800,3089.4800,82974703,-21.7000,-0.0070
2016-06-17,3096.0900,3110.3600,3131.0500,3096.0900,85402985,15.6900,0.0051
2016-06-20,3114.9100,3112.6700,3118.7300,3089.7100,63587141,2.3100,0.0007
2016-06-21,3124.9000,3106.3200,3155.4900,3097.9400,87965345,-6.3500,-0.0020
2016-06-22,3100.4500,3133.9600,3134.0600,3096.9900,66487113,27.6400,0.0089
2016-06-23,3129.7200,3117.3200,3129.7200,3102.4800,67751738,-16.6400,-0.0053
2016-06-24,3110.6500,3077.1600,3130.5400,3033.9700,104792208,-40.1600,-0.0129
2016-06-27,3065.1300,3120.5400,3120.6400,3064.9700,83267259,43.3800,0.0141
2016-06-28,3107.4000,3136.4000,3139.4300,3099.7000,92024637,15.8600,0.0051
2016-06-29,3142.4800,3151.3900,3158.0800,3139.1300,103723668,14.9900,0.0048
2016-06-30,3152.8300,3153.9200,3163.7200,3148.2000,79692617,2.5300,0.0008
2016-07-01,3156.9300,3154.2000,3170.2600,3148.2900,71746283,0.2800,0.0001
2016-07-04,3136.3900,3204.7000,3210.6000,3134.0200,133310529,50.5000,0.0160
2016-07-05,3199.1600,3207.3800,3216.7000,3198.0000,130226895,2.6800,0.0008
2016-07-06,3197.6200,3216.8000,3217.5200,3183.4500,124897458,9.4200,0.0029
2016-07-07,3206.5500,3209.9500,3220.5400,3190.1200,118595202,-6.8500,-0.0021
2016-07-08,3199.7500,3192.2800,3204.9300,3183.9600,89734855,-17.6700,-0.0055
2016-07-11,3199.0400,3203.3300,3235.9600,3197.6300,138529511,11.0500,0.0035
2016-07-12,3201.9100,3273.1800,3273.4700,3200.3000,172534217,69.8500,0.0218
2016-07-13,3274.0200,3282.8700,3300.9900,3271.7800,175196090,9.6900,0.0030
2016-07-14,3277.4800,3276.7600,3281.9500,3259.0700,107525798,-6.1100,-0.0019
2016-07-15,3278.8400,3276.2800,3285.0300,3265.2900,102665026,-0.4800,-0.0001
2016-07-18,3269.7100,3262.0200,3281.6400,3251.7700,110312518,-14.2600,-0.0044
2016-07-19,3260.4300,3248.2300,3264.7300,3226.2000,88886861,-13.7900,-0.0042
2016-07-20,3246.8600,3237.6000,3254.5100,3232.2600,72701255,-10.6300,-0.0033
2016-07-21,3238.3400,3252.5200,3271.3700,3238.3000,86004825,14.9200,0.0046
2016-07-22,3251.2400,3225.1600,3253.7700,3220.8900,86029128,-27.3600,-0.0084
2016-07-25,3220.1700,3230.8900,3243.7900,3218.1400,70203185,5.7300,0.0018
2016-07-26,3228.2300,3269.5900,3269.7500,3228.0100,81051089,38.7000,0.0120
2016-07-27,3270.0800,3218.2400,3276.5100,3157.4100,160188665,-51.3500,-0.0157
2016-07-28,3204.4600,3221.1400,3235.7800,3195.2700,112779964,2.9000,0.0009
2016-07-29,3217.1900,3203.9300,3225.4200,3198.6800,88044837,-17.2100,-0.0053
2016-08-01,3196.4300,3176.8100,3199.9800,3156.7500,87003497,-27.1200,-0.0085
2016-08-02,3173.7600,3189.0500,3189.0500,3165.5400,62167639,12.2400,0.0039
2016-08-03,3179.6800,3193.5100,3197.1600,3173.5400,72864102,4.4600,0.0014
2016-08-04,3190.5500,3201.2900,3201.5500,3170.4200,73504373,7.7800,0.0024
2016-08-05,3201.3500,3205.1100,3224.8700,3192.8600,77196366,3.8200,0.0012
2016-08-08,3199.5700,3234.1800,3234.4800,3187.2500,86676051,29.0700,0.0091
2016-08-09,3232.6000,3256.9800,3257.3300,3229.1700,91065259,22.8000,0.0070
2016-08-10,3255.1800,3243.3400,3261.8600,3242.7500,90430372,-13.6400,-0.0042
2016-08-11,3239.5600,3233.3600,3274.0300,3232.6100,101041213,-9.9800,-0.0031
2016-08-12,3231.8100,3294.2300,3294.2300,3231.1400,116254044,60.8700,0.0188
2016-08-15,3303.4700,3393.4200,3417.9100,3302.3800,220543421,99.1900,0.0301
